timestamp,tweet_text,username,all_hashtags,followers_count
2022-11-15 09:23:33+00:00,@Mr_writer1985 @Breathanbu @ER1K10HAG @utdreport @JBurtTelegraph @FCBarcelona He's not the one cancelling it foo!. They're terminating his contract and he would demand his money,b'naaseibonsu99',[],196
2022-11-15 09:23:32+00:00,Busquets divides opinion but he's key to Spain's World Cup prospects (https://t.co/Hwe4zTtFWS)  Graham HunterSpain writer Close Graham Hunter is a Barcelona-based freelance writer for ESPN...  Add your highlights: https://t.co/Z1WDF4OxOw  #FCBarcelona #FCB,b'Barcelona_FC_b',"['FCBarcelona', 'FCB']",1041
2022-11-15 09:23:20+00:00,"@iamAbiodunAA @FCBarcelona @JoanLaportaFCB What Barca needs right now is MONEY and that's why Xavi's UCL mess is overlooked. Strategic transfers need to be made to boost income streams aside from endorsements. Messi y Lewy for one season will net us mad money. I like Bernado, BUT we no need am tbh. We need WBs rn sha.",b'zeezoe13',[],478
2022-11-15 09:22:20+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Crowdvtvkt',[],0
2022-11-15 09:21:43+00:00,@barcacentre @FCBarcelona He’s hasn’t been treated fairly 🥺,b'fordjour_d',[],317
2022-11-15 09:20:21+00:00,"@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Is it not better we get a RB and look to bring in Messi. Messi will net us mad money before he hangs his boot and we can reinvest such proceeds into getting adequate replacements for CF, WBs, and two confirm CMs ( DM and RPM).",b'zeezoe13',[],478
2022-11-15 09:19:13+00:00,@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Xavi is really fvcking us up Mehn 😩 ( said he wants him to renew WTF) and candidates mention were just not close to what we need to our midfield ( XAVI nd the board are cr!zy fr),b'MakanjuFestus',[],1344
2022-11-15 09:19:11+00:00,"🙌The president @JoanLaportaFCB  has arrived to visit our project in📍 Arauca, Colombia! 🇨🇴 #WithArauca @FCBarcelona https://t.co/e6AmbpoTCL",b'FundacioFCB',['WithArauca'],122813
2022-11-15 09:16:52+00:00,"@MakanjuFestus @FCBarcelona @JoanLaportaFCB Barca matter don tire me with signing anything Spanish. I saw some news yesterday, they are persuading Busiquest to take new deal of 2 years 😭😭😭. They should allow the guy goooo!",b'iamAbiodunAA',[],102043
2022-11-15 09:16:15+00:00,Wtf is Xavi doing 😩💔… busquet? @FCBarcelona needs to sack xavi before he destroys us 😪 https://t.co/rL3UBMrpzB,b'MakanjuFestus',[],1344
2022-11-15 09:13:11+00:00,@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Then you won't have the money to sign Silva,b'Big_Paramount',[],1246
2022-11-15 09:11:17+00:00,@FundacioFCB @FCBarcelona @Refugees @save_children Come and help Ghana too....na the country itself he a refugee camp pass any camp.....,b'kofiBARCELONA16',[],308
2022-11-15 09:09:54+00:00,@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Fr fr that guy is a great asset! His attacking prowess will damage us if https://t.co/XgdAcamlba get hold of him ( pray they don’t go for Spanish midfielder again),b'MakanjuFestus',[],1344
2022-11-15 09:09:17+00:00,@Big_Paramount @FCBarcelona @JoanLaportaFCB Be like you dey call thunder ? If we sell de Jong to Man Utd I will just drop my Barcelona membership,b'iamAbiodunAA',[],102043
2022-11-15 09:06:34+00:00,@tyystunna @PeterPascual12 @barcacentre @FCBarcelona I hate them for choosing bellerin &amp; Roberto over him,b'snipergvng1800',[],1085
2022-11-15 09:06:12+00:00,@vii_shh @tyystunna @barcacentre @FCBarcelona Okay continue with bellerin and Roberto then,b'snipergvng1800',[],1085
2022-11-15 09:05:15+00:00,@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Sell De jong for us first,b'Big_Paramount',[],1246
2022-11-15 09:04:30+00:00,@MakanjuFestus @FCBarcelona @JoanLaportaFCB If they like they should give those !diots 5 more years. They should sign Bernardo Silva before other big club goes for him. If R. Madrid go for that guy he will most likely shenk us o,b'iamAbiodunAA',[],102043
2022-11-15 09:02:57+00:00,@bant3rk1ng @barcacentre @FCBarcelona Nope.,b'snipergvng1800',[],1085
2022-11-15 09:00:45+00:00,@bant3rk1ng @barcacentre @FCBarcelona Nope,b'snipergvng1800',[],1085
2022-11-15 09:00:43+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Mariabtdtz',[],0
2022-11-15 09:00:01+00:00,Pique and Shakira's €14m Barcelona home has been put up for sale 🏠  [Via: @diarioas]  #FCBarcelona https://t.co/pROezK5E7D,b'Sport360Foot',['FCBarcelona'],2279
2022-11-15 08:59:33+00:00,@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Bernardo and a replacement for Roberto &amp; bellerin. 😩,b'MakanjuFestus',[],1344
2022-11-15 08:59:12+00:00,@iamAbiodunAA @FCBarcelona @JoanLaportaFCB Well said bruv,b'RealtorAlexand1',[],157
2022-11-15 08:58:12+00:00,@KayPoissonOne @barcacentre @FCBarcelona Free transfer 😍,b'LordAwatey',[],1791
2022-11-15 08:55:41+00:00,@barcacentre @FCBarcelona We are garbage collectors 😭,b'Ben_Beckmann090',[],114
2022-11-15 08:54:29+00:00,"Dear @FCBarcelona and @JoanLaportaFCB,   Use this break to look for money, WE MUST sign Bernardo Silva next season o. It is very very important for our future. He is like the missing piece.   He should be a top priority! Leave Messi alone!!! Messi don try already!!!!",b'iamAbiodunAA',[],102043
2022-11-15 08:54:07+00:00,@dizasterclass @barcacentre @FCBarcelona Not for the style Xavi wants to play,b'XaviGelledHair',[],781
2022-11-15 08:53:59+00:00,@LifeBeyond @CoolCatsFC @coolcatsnft @FCBarcelona top 🤘 0x114747FFd240126ABFE0AE31bFa641D7db6Ed4A5,b'Viki_Moon_',[],61
2022-11-15 08:52:41+00:00,@XaviGelledHair @barcacentre @FCBarcelona Dalot is 23 lol that's long term,b'dizasterclass',[],946
2022-11-15 08:50:28+00:00,"❌ Sergiño Dest's @FCBarcelona career is over, even if AC Milan don't execute their buy option. The full-back will not be returning to the Camp Nou. 🇺🇸",b'Barca_Update1',[],2
2022-11-15 08:50:00+00:00,@barcacentre @FCBarcelona Zero chance they sign Dalot in jan. Have to sell another level for utd to even agree to selling him,b'chiragcp1982',[],312
2022-11-15 08:48:55+00:00,@PeterPascual12 @barcacentre @FCBarcelona He most definitely is not lol,b'G4N35HHH_XO',[],136
2022-11-15 08:45:24+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Harmojxnwi',[],0
2022-11-15 08:43:09+00:00,"Barça Foundation and @FCBarcelona  are always #Withrefugees. 🧡 Discover our project in Arauca, where people flee from Venezuela searching for a better future. 🇻🇪 @Refugees  @save_children https://t.co/uyEOHPAeoP",b'FundacioFCB',['Withrefugees'],122813
2022-11-15 08:41:08+00:00,"@LaLigaEN @Mascherano @FCBarcelona Tackling Bendtner.  (And, internationally, the speech to pump up Romero in WC.)",b'johnw737',[],53
2022-11-15 08:40:44+00:00,@sliderxxRM @AmirAry31802510 @lewyball @FCBarcelona bodied the 🤡,b'Wiccan2022',[],316
2022-11-15 08:38:42+00:00,"@FCBarcelona are very interested in signing İlkay Gündoğan, who is a free agent in June 2023.   The player is waiting to know the future of Pep Guardiola.   Gundogan on contract expiring in June: ""The summer of 2023 still feels so far away, I'm relaxed https://t.co/KHvBYTrUim",b'Footyhub01',[],668
2022-11-15 08:37:27+00:00,@barcacentre @FCBarcelona Dalot. Bring him to the Nou Camp,b'playitcool03',[],495
2022-11-15 08:34:02+00:00,What's wrong btn @esmuellert_ and @FCBarcelona https://t.co/VDt3KqzXzs,b'khamis_benjamin',[],10
2022-11-15 08:27:04+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Queenrlnko',[],0
2022-11-15 08:25:16+00:00,@XaviGelledHair @barcacentre @FCBarcelona Arnau being 19 could be a long time guy! at RB,b'pandeyji_akash',[],25
2022-11-15 08:23:00+00:00,@pandeyji_akash @barcacentre @FCBarcelona We should be looking at Arnau,b'XaviGelledHair',[],781
2022-11-15 08:22:13+00:00,@SuiGlobal @suiswap_app @Green_288  @ProjectPatHcp  @FCBarcelona_es  Great project. to the moon,b'woniuyueye',[],198
2022-11-15 08:21:56+00:00,@Memphis @BMarshall @FCBarcelona @OnsOranje That's right,b'007Criminel',[],4
2022-11-15 08:19:12+00:00,@XaviGelledHair @barcacentre @FCBarcelona see the list from la liga and bundesliga https://t.co/MlxS7r1QcK,b'pandeyji_akash',[],25
2022-11-15 08:18:34+00:00,5️⃣ days to go for the grandest of events: FIFA World Cup 2022⏳  #FIFAWorldCup #Qatar2022 #FIFAWC #Football #SergioBusquets #Spain #FCBarcelona #Sky11 https://t.co/YQDy2xBXP6,b'sky11official',"['FIFAWorldCup', 'Qatar2022', 'FIFAWC', 'Football', 'SergioBusquets', 'Spain', 'FCBarcelona', 'Sky11']",43
2022-11-15 08:18:24+00:00,Our Players 💙❤️ #FCBlive #Barça #FCBarcelona https://t.co/v7zu8gParw,b'BarcaVerse_',"['FCBlive', 'Barça', 'FCBarcelona']",1297
2022-11-15 08:18:21+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'nftlivoe',[],0
2022-11-15 08:15:54+00:00,"@Integralmufc @FCBarcelona nah, he is your best cb, we cant rob you that bad",b'Ir4tsemi',[],14
2022-11-15 08:14:12+00:00,"@XaviGelledHair @barcacentre @FCBarcelona just like badle we need a long term solution for RB too, dest could give that speed support but his track back is nothing compared to balde, we need a speed track back who is good wtih overlap and crosses",b'pandeyji_akash',[],25
2022-11-15 08:13:16+00:00,@FCBarcelona incredible effort congratulation  #bbtvi #Shraddha #taksimpatlama,b'1Nurkhan',"['bbtvi', 'Shraddha', 'taksimpatlama']",298
2022-11-15 08:12:47+00:00,@FCBarcelona_cat wow what a goal  #bbtvi #Shraddha #taksimpatlama,b'1Nurkhan',"['bbtvi', 'Shraddha', 'taksimpatlama']",298
2022-11-15 08:12:09+00:00,@LaLigaEN @Mascherano @FCBarcelona tearing his anus,b'HarryCFC9',[],327
2022-11-15 08:12:08+00:00,@Ir4tsemi @Integralmufc @FCBarcelona Can’t wait to enjoy some of your UEL banter,b'yrn_amin',[],5
2022-11-15 08:08:19+00:00,@barcacentre @FCBarcelona And what is that profile,b'Hlomla_N',[],89
2022-11-15 08:07:38+00:00,@LaLigaEN @Mascherano @FCBarcelona His only goal he scored from the spot in the league.,b'RK3one6',[],3308
2022-11-15 08:07:28+00:00,@Ir4tsemi @FCBarcelona Maguire is needed to replace Pique https://t.co/9tycP659CO,b'Integralmufc',[],1281
2022-11-15 08:07:08+00:00,@FCBarcelona @03_ryce Goal of month,b'kijanawayurop',[],2123
2022-11-15 08:06:33+00:00,@LaLigaEN @Mascherano @FCBarcelona His only la liga goal from the spot,b'Hlomla_N',[],89
2022-11-15 08:06:16+00:00,@FCBarcelona_cat Budget Ronaldinho 😭👋,b'tapindowsky',[],3
2022-11-15 08:05:45+00:00,@Integralmufc @FCBarcelona release bumcher and sign 6 year contract with Maguire,b'Ir4tsemi',[],14
2022-11-15 08:05:07+00:00,@uggh007 @FCBarcelona We are all in this together 😎 https://t.co/Yzf9qZDllN,b'Honest_ManUtd',[],3122
2022-11-15 08:03:19+00:00,@andreipopaa10 @barcacentre @FCBarcelona Yes for bench cleaning and interviews Better than poetry and writter in his own sister instagram account,b'jugadour',[],0
2022-11-15 08:03:07+00:00,@Ir4tsemi @FCBarcelona Sign the contract biscuits,b'Integralmufc',[],1281
2022-11-15 08:02:48+00:00,@BrianBrocklynjr @Baeine1 @ANSUFATI @FCBarcelona @rosette_stargal Ahhh😂😂😂😂 bro😀 allow me to feel some sweetness too also🥺🤗💀,b'alema_harold',[],29662
2022-11-15 08:02:42+00:00,@Integralmufc @FCBarcelona ratio + penaldo is finished,b'Ir4tsemi',[],14
2022-11-15 08:01:44+00:00,@FCBarcelona Better than any Messi goal,b'Integralmufc',[],1281
2022-11-15 08:01:32+00:00,@LaLigaEN @Mascherano @FCBarcelona His goated 🐐,b'LauraNadal8',[],142
2022-11-15 08:01:30+00:00,@FCBarcelona PENALDO won't do that,b'TettWesties',[],120
2022-11-15 08:01:19+00:00,@FCBarcelona u download TikTok Now through this link and u get +10$ just for putting the code from this link  https://t.co/3XFRQRqhQf,b'Mxrcescodaa',[],370
2022-11-15 08:01:00+00:00,"#OnThisDay in 2020, @Mascherano announced his retirement from the beautiful game. 👋🇦🇷  💙❤️ @FCBarcelona fans, what's your favourite memory of his?  #LaLigaHistory https://t.co/lDOkhoN2Gi",b'LaLigaEN',"['OnThisDay', 'LaLigaHistory']",1855874
2022-11-15 08:00:58+00:00,G⚽️AL OF THE DAY 😎 Davids https://t.co/n7jpe3Kdxv,b'FCBarcelona',[],45011654
2022-11-15 08:00:12+00:00,@barcacentre @FCBarcelona Diogo dalot could be a good option,b'utkarshborkar12',[],1
2022-11-15 07:57:25+00:00,@1xBet_Eng No player is bigger than club?you sure..but when some club target a player you can definitely say he's bigger than that club 👻 @FCBarcelona,b'Zayn94328022',[],37
2022-11-15 07:57:18+00:00,"@piersmorgan Damn u @piersmorgan. Tell your puppet that @realmadrid he adores so much has gone through such period, @FCBarcelona,@acmilan,@juventusfc,@LFC,@ManCity  and other big clubs go through such hard times times. I wonder how u became a journalist. Shameless guy",b'AcheampongOfor8',[],24
2022-11-15 07:57:04+00:00,@barcacentre @FCBarcelona At least get rid of bellerin then get 1 of those 2 then in summer get 1 prolific rb,b'MuresanBogdanI2',[],9
2022-11-15 07:54:14+00:00,@barcacentre @FCBarcelona Please no.. Get pavard,b'bant3rk1ng',[],274
2022-11-15 07:52:50+00:00,"@barcacentre @FCBarcelona They fill the short term, our problem at right back is long term. It solves nothing, we're wasting more money.",b'XaviGelledHair',[],781
2022-11-15 07:52:01+00:00,@fcbarcelona_fra @dembouz Courage 💪💪💪,b'ben_lokwa',[],15
2022-11-15 07:50:02+00:00,@barcacentre @FCBarcelona The profile must be only one point: cheap.,b'samsunacun',[],31
2022-11-15 07:49:41+00:00,@barcacentre @FCBarcelona Frimpong and Pavard and nothing else,b'PyroYourDevil',[],63
2022-11-15 07:48:52+00:00,"@barcacentre @FCBarcelona Again with this meunier?  Come, I'll block you people one day",b'Maybenotyet007',[],232
2022-11-15 07:48:47+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'mehmefyugf',[],0
2022-11-15 07:47:24+00:00,@barcacentre @FCBarcelona Finished club 🫵,b'kennylanta',[],960
2022-11-15 07:46:09+00:00,"@FCBarcelona And yet, we will be playing Thursday night football",b'queculer',[],12
2022-11-15 07:45:37+00:00,@barcacentre @FCBarcelona does Cristiano also for that profile?😂,b'andreipopaa10',[],172
2022-11-15 07:45:37+00:00,@barcacentre @FCBarcelona So so cringe,b'MysticalPedri',[],679
2022-11-15 07:45:04+00:00,@barcacentre @FCBarcelona Both nit better than foyth,b'TettWesties',[],120
2022-11-15 07:44:17+00:00,Thomas Meunier and Diogo Dalot fit the profile that @FCBarcelona are looking for in January. [md] #fcblive,b'barcacentre',['fcblive'],406820
2022-11-15 07:40:09+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'ethkvsvo',[],0
2022-11-15 07:24:59+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'davengimhj',[],0
2022-11-15 07:17:09+00:00,@KayPoissonOne @barcacentre @FCBarcelona Pavard won't downgrade,b'Papaye_Asa',[],5139
2022-11-15 07:16:28+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'NFTRozvxib',[],0
2022-11-15 07:15:04+00:00,@DeJongFrenkie21 @FCBarcelona Sweet,b'ebeneze80133721',[],0
2022-11-15 07:13:34+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Antonidzpn',[],0
2022-11-15 07:12:55+00:00,"@FCBarcelona 25 Year Anniversary, 1924. @FCBarcelona_es @FCBarcelona_cat @fcbarcelona_ara @fcbarcelona_fra @FCBfemeni @fcbarcelona_br @FCBmasia @robertmdaws @WPDigital2 https://t.co/D9lO5oHY6Y https://t.co/gqGNDq7GK3",b'praetorianm5',[],0
2022-11-15 07:12:54+00:00,"@FCBarcelona 25 Year Anniversary, 1924. @FCBarcelona_es @FCBarcelona_cat @fcbarcelona_ara @fcbarcelona_fra @FCBfemeni @fcbarcelona_br @FCBmasia @robertmdaws @WPDigital2 https://t.co/V9BNYGuxTc https://t.co/0ulsl8NtyL",b'mujikj6',[],1
2022-11-15 07:12:32+00:00,"@FCBarcelona 25 Year Anniversary, 1924. @FCBarcelona_es @FCBarcelona_cat @fcbarcelona_ara @fcbarcelona_fra @FCBfemeni @fcbarcelona_br @FCBmasia @robertmdaws @WPDigital2 https://t.co/tsQYTv2WnA",b'philharrison192',[],5433
2022-11-15 07:12:14+00:00,@FCBarcelona must be suffering 😂😂 @Alshabaiby @espn https://t.co/4ASQu6Ue0z,b'Bob_Bildad',[],2414
2022-11-15 07:11:09+00:00,@LaLigaEN @FCBarcelona Champions in style,b'pequos23',[],24
2022-11-15 07:10:30+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Satenphjpn',[],0
2022-11-15 07:06:18+00:00,@FCBarcelona The end of an Era. Gracias Champ.!,b'SolaceH',[],80
2022-11-15 07:01:18+00:00,@FCBarcelona But where do you play in Europe? Champions League? No!! Euroleague? Yes!!,b'HHAdsubia',[],0
2022-11-15 06:57:52+00:00,"@Breathanbu @ER1K10HAG @utdreport @JBurtTelegraph @FCBarcelona They will pay him whilst he is at the club, but if he wants to cancel his contract, they ain't gonna pay.",b'Mr_writer1985',[],195
2022-11-15 06:57:23+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'katiakfxvz',[],0
2022-11-15 06:57:16+00:00,@barcacentre @FCBarcelona It’s fair .. Just bring Pavard,b'KayPoissonOne',[],75989
2022-11-15 06:49:02+00:00,Messi: Man City boss Guardiola best coach I've had #Barca #FCBarcelona #FCB https://t.co/QZ3dSeQjQK,b'barcanewsonly',"['Barca', 'FCBarcelona', 'FCB']",22498
2022-11-15 06:46:54+00:00,@dembouz @FCBarcelona @equipedefrance Now don’t get injured,b'TomiwaKol',[],1537
2022-11-15 06:39:58+00:00,For the most Messi is best of all times. How much would you pay for a GOAT’s NFT? ⁦@FCBarcelona⁩ https://t.co/47ujry3FL1,b'KarabasKostas',[],114
2022-11-15 06:37:01+00:00,For me the best football player of all times! Now in my NFT creations! Always with a smile on his face ⁦@10Ronaldinho⁩ ⁦@FCBarcelona⁩  https://t.co/oZk6pvgjyu,b'KarabasKostas',[],114
2022-11-15 06:36:29+00:00,@Oluwasegun1999 @barcacentre @FCBarcelona like brooo,b'cokeboy_ayo',[],71
2022-11-15 06:36:22+00:00,@barcacentre @premierleague @FCBarcelona 30-40m would be really good business 👏,b'fcbarca233',[],140
2022-11-15 06:35:57+00:00,@barcacentre @crusher300001 @FCBarcelona but they were criticizing him 🤡,b'cokeboy_ayo',[],71
2022-11-15 06:35:49+00:00,@FCBarcelona Yeah but...,b'Mutsa8',[],860
2022-11-15 06:29:11+00:00,Lionel Messi  Jersey  Number 10 should be kept in  The Catalan museum So that the younger generation Can see it... With a big statue also in Barcelona  @FCBarcelona,b'Ahdams4u',[],20
2022-11-15 06:27:28+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Eowynyahdq',[],0
2022-11-15 06:25:46+00:00,"@barcacentre @FCBarcelona AC Milan has Seven Champions League trophies in their cabinet .Dest played very well against Florentina and i believe  American owners will permanently sign him.Barca treats Spanish players with soft gloves nothing will stop Milan from doing that,,all the best young man.",b'Osofia20',[],13
2022-11-15 06:22:57+00:00,DRIFT21 Download for PC Windows 7 &amp; 10 https://t.co/D995Ye6mbL  #wordpress #blockchain #cloud #news #trends #business #techtrends #ronaldo #messi #fcbarcelona #blogging #websites #tech #development #science #security #future #facebook,b'einsstarktech',"['wordpress', 'blockchain', 'cloud', 'news', 'trends', 'business', 'techtrends', 'ronaldo', 'messi', 'fcbarcelona', 'blogging', 'websites', 'tech', 'development', 'science', 'security', 'future', 'facebook']",33
2022-11-15 06:20:38+00:00,@LifeBeyond @CoolCatsFC @coolcatsnft @RealMadrid @ManUTD @FCBarcelona 0x76232Accd8b6e1827A00462abd9B3CFFcAD68b9e,b'DespojoRodny',[],23
2022-11-15 06:20:12+00:00,@barcacentre @FCBarcelona Barcelona is a very hostile environment for non Spanish internationals.They must resist temptations to join that Club by all means.Their careers remains paramount to a club that's managed like a political party.,b'Osofia20',[],13
2022-11-15 06:17:40+00:00,"@FCBarcelona A new strategy in public/personal investment.   Here is one way to fund well-being, rejuvenation and growth in the population  Used by the elites - the rich - the poor  No touch, no meds, no tech needed  One example of the paradigm shift  https://t.co/h9kmWcq2bA",b'ijclausen',[],2149
2022-11-15 06:16:54+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'WERUNaqzps',[],0
2022-11-15 06:15:35+00:00,@fcbarcelona_br They are many barcelona fans that believe this guy is better than rodrego 🤣😅😂,b'wllosma2',[],0
2022-11-15 06:12:36+00:00,"@FCBarcelona ??? This I did not know about you, @yassin_elfaki !!! But, I’ll forgive you! We are supporting #BlackInImmunoWeek here @iit_ucl @UCLInfectImm @HealthUCL https://t.co/JvfDI15O8Q",b'ecmorris',['BlackInImmunoWeek'],1529
2022-11-15 06:06:11+00:00,@FCBarcelona_es Hello,b'Titox99561753',[],2
2022-11-15 06:04:59+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Bnuuysvfat',[],0
2022-11-15 06:03:20+00:00,@dembouz @FCBarcelona @equipedefrance Please for the love of god don't get injured,b'Doc_Senator',[],53
2022-11-15 06:01:14+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'davidheuih',[],0
2022-11-15 05:59:37+00:00,@FCBarcelona In case you need money.... https://t.co/x9DMwkDZXu,b'06_taro',[],431
2022-11-15 05:55:57+00:00,@BarcaWorldwide Wont be bad if the three of them plays for @FCBarcelona,b'strlng14',[],288
2022-11-15 05:50:02+00:00,@FCBarcelona This year doesnt mean anything. its about seasons,b'miasanbest',[],162
2022-11-15 05:49:44+00:00,@dembouz @FCBarcelona @equipedefrance Finished players,b'Peace05530164',[],1
2022-11-15 05:41:46+00:00,@DeJongFrenkie21 @FCBarcelona Wishing you the best parformance,b'BulusAudu5',[],66
2022-11-15 05:38:49+00:00,"@TheCuleDesk @barcacentre @FCBarcelona Alba and Alonso are clear of Dest, tf is wrong with you 😭 Roberto has been very good this season, you're the one with the agenda. Bellerin is your only argument, truth be told I wouldn't have assumed he'd be worse than Dest",b'aitanafcb2',[],259
2022-11-15 05:37:32+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Setetgafao',[],0
2022-11-15 05:34:25+00:00,@TheCuleDesk @barcacentre @FCBarcelona Cry harder 🙏🏽,b'bstract______',[],180
2022-11-15 05:31:20+00:00,@FCBarcelona away kit https://t.co/6VA31XXp1K,b'mtumeathman37',[],3
2022-11-15 05:27:14+00:00,@barcacentre @FCBarcelona A Martinez should be the one.,b'Mahim441',[],519
2022-11-15 05:25:43+00:00,🗞️| #fcbarcelona are reportedly interested in signing #douglasluiz for #astonvilla and are prepared to offer #frankkessie as part of a potential deal. Thoughts? #fcblive  - - - - #worldcup #worldcup2022 #cristianoronaldo #ronaldo #fcbarça #fcbdstyle #manchesterunited #Messi https://t.co/LkIY0IYyYV,b'extrabarcafc',"['fcbarcelona', 'douglasluiz', 'astonvilla', 'frankkessie', 'fcblive', 'worldcup', 'worldcup2022', 'cristianoronaldo', 'ronaldo', 'fcbarça', 'fcbdstyle', 'manchesterunited', 'Messi']",4
2022-11-15 05:25:17+00:00,"Great manager and Top up and coming coaches?😂😂  @FCBarcelona  If you do not destroy these people, full Laliga go mourn una for the next el Clasico https://t.co/tiyv3gEKZK",b'thalesSZN',[],315
2022-11-15 05:14:08+00:00,@DeJongFrenkie21 @FCBarcelona Plsss stay strong and stay back at barca,b'Dianehart26',[],36
2022-11-15 05:09:45+00:00,@dembouz @FCBarcelona @equipedefrance Good luck bro,b'Ebubechi_45',[],342
2022-11-15 05:09:39+00:00,@DeJongFrenkie21 @FCBarcelona Good luck,b'Ebubechi_45',[],342
2022-11-15 05:04:37+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'Barryskady',[],0
2022-11-15 05:04:00+00:00,"Liverpool, Man City threaten Barcelona plans for Las Palmas midfielder Alberto Moleiro #Barca #FCBarcelona #FCB https://t.co/dbHk1R7MBv",b'barcanewsonly',"['Barca', 'FCBarcelona', 'FCB']",22498
2022-11-15 05:00:54+00:00,@fcbarcelona @ol @scuderiaferrari  bts hater,b'ACHILolflk',[],0
2022-11-15 05:00:00+00:00,1⃣4⃣ laga. 🏟️ 1⃣2⃣ menang. ✅ 1⃣ imbang. ➖ 1⃣ kekalahan. ❌  3⃣3⃣ gol. ⚽️ 3⃣7⃣ poin.  Pemuncak klasemen sementara. 🔝  💙❤️ @fcbarcelona_id ❤️💙  #LaLigaSantander https://t.co/x0hQwoDOmY,b'LaLigaID',['LaLigaSantander'],147837
2022-11-15 04:57:32+00:00,@cmygqz99 @TotalMartens @barcacentre @FCBarcelona Hard to digest  but facts,b'Fdjong1',[],572
2022-11-15 04:55:11+00:00,@DeJongFrenkie21 @FCBarcelona Finished player,b'Peace05530164',[],1
2022-11-15 04:49:33+00:00,@totobobwa1 @FCBarcelona Nice,b'azizedman',[],11
2022-11-15 04:48:57+00:00,"@PeterPascual12 @barcacentre @FCBarcelona Lol Roberto better than him, and they’re all ass par Dest😅🤣🤣",b'Prasco01',[],142
2022-11-15 04:45:57+00:00,@tyystunna @barcacentre @FCBarcelona You really wish he can 😅🤣,b'Prasco01',[],142
2022-11-15 04:41:26+00:00,@barcacentre @FCBarcelona Mixed feelings about this one 😵‍💫,b'somesimondude',[],78
2022-11-15 04:38:49+00:00,@mattfecas @PeterPascual12 @barcacentre @FCBarcelona Yeah but he made no impact at all lol,b'LeoMessiah6',[],0
2022-11-15 04:36:30+00:00,@barcacentre @FCBarcelona Great kid. Would've been so much better than Bellerin and Roberto this campaign. But this club and agendas go hand in hand like Laporta with lies. Also remember the times Balde has played RB pushing Alonso and Alba into the XI. What abysmal planning,b'TheCuleDesk',[],39
2022-11-15 04:34:57+00:00,"@yungxkane @cmygqz99 @barcacentre @FCBarcelona A lot of people don't like him, but xavi still believes in him and thinks he needs time to gain confidence. But Dest who only played half a season under him, took too long so he was loaned out lmaoo 😭😂",b'TotalMartens',[],1181
2022-11-15 04:30:37+00:00,@AlexAleksanian1 @FCBarcelona 4-0   You know,b'Xdarwin99',[],27
2022-11-15 04:28:22+00:00,@barcacentre @FCBarcelona We don't need him anyway.. we have Bellirin.. the best in the world,b'Joshia206',[],64
2022-11-15 04:27:56+00:00,@DeJongFrenkie21 @FCBarcelona let’s go,b'Harry_of_lagos',[],231
2022-11-15 04:27:51+00:00,@dembouz @FCBarcelona @equipedefrance The beast is ready,b'firminho2021',[],85
2022-11-15 04:27:29+00:00,@DeJongFrenkie21 @FCBarcelona 0 cares,b'modric_szn',[],216
2022-11-15 04:25:35+00:00,@FCBarcelona let’s talk https://t.co/JVQHuOXCcm,b'GoshJrand5',[],88
2022-11-15 04:23:06+00:00,Go to prison banned usa fuck you go call @KremlinRussia_E go to @putinsfriendjoe @MalvagioLA @MalvagioLA banned dumb bitch @ObamaFoundation stupid jealous call Putin thanks for harboring @FCBarcelona @Snowden thanks @JillArrington for loving Jack arrington @CocaCola baffy_jr..👽 https://t.co/0arGgx5iPz,b'SpampinatoJazz',[],41
2022-11-15 04:19:31+00:00,NFT lover|| crypto lover📊 ||Financial market analyst💹||Forex trader.📈📉 Web 3.0 @jojialphadao @fcbarcelona fan,b'CWanebridg1',[],0
2022-11-15 04:09:18+00:00,@FCBarcelona We need to play in champions leagues,b'Mu_Arja',[],63
